# Native Win98 refocus sections; intervening baseline/focus matrices omitted.
VERSION -1073739260 0 0 0
NESTED_FOCUS kind/target-focused/button-state/target-state 6 1 9 9
LEAVE kind/msg/state/clicks 6 8 1 1
REFOCUS_RESULT kind/focus-button/focus-alternate/button-state 6 1 0 1
REFOCUS_OTHER kind/alternate-state/clicks/armed 6 0 1 0
REFOCUS_CASE kind/mode 6 1 0 0
ENTER kind/msg/state/clicks 6 8 4 0
ENTER kind/msg/state/clicks 6 243 4 0
LEAVE kind/msg/state/clicks 6 243 0 0
CLICK kind/state/capture/count 6 1 0 1
NESTED_FOCUS kind/target-focused/button-state/target-state 6 1 1 8
LEAVE kind/msg/state/clicks 6 8 1 1
REFOCUS_RESULT kind/focus-button/focus-alternate/button-state 6 0 1 1
REFOCUS_OTHER kind/alternate-state/clicks/armed 6 8 1 0
REFOCUS_CASE kind/mode 7 0 0 0
ENTER kind/msg/state/clicks 7 8 12 0
ENTER kind/msg/state/clicks 7 243 12 0
LEAVE kind/msg/state/clicks 7 243 8 0
CLICK kind/state/capture/count 7 8 0 1
NESTED_FOCUS kind/target-focused/button-state/target-state 7 1 8 8
LEAVE kind/msg/state/clicks 7 8 0 1
REFOCUS_RESULT kind/focus-button/focus-alternate/button-state 7 1 0 0
REFOCUS_OTHER kind/alternate-state/clicks/armed 7 0 1 0
REFOCUS_CASE kind/mode 7 1 0 0
ENTER kind/msg/state/clicks 7 8 4 0
ENTER kind/msg/state/clicks 7 243 4 0
LEAVE kind/msg/state/clicks 7 243 0 0
CLICK kind/state/capture/count 7 0 0 1
NESTED_FOCUS kind/target-focused/button-state/target-state 7 1 0 8
LEAVE kind/msg/state/clicks 7 8 0 1
REFOCUS_RESULT kind/focus-button/focus-alternate/button-state 7 0 1 0
REFOCUS_OTHER kind/alternate-state/clicks/armed 7 8 1 0
REFOCUS_CASE kind/mode 8 0 0 0
ENTER kind/msg/state/clicks 8 8 12 0
ENTER kind/msg/state/clicks 8 243 12 0
LEAVE kind/msg/state/clicks 8 243 8 0
CLICK kind/state/capture/count 8 8 0 1
NESTED_FOCUS kind/target-focused/button-state/target-state 8 1 8 8
LEAVE kind/msg/state/clicks 8 8 0 1
REFOCUS_RESULT kind/focus-button/focus-alternate/button-state 8 1 0 0
REFOCUS_OTHER kind/alternate-state/clicks/armed 8 0 1 0
REFOCUS_CASE kind/mode 8 1 0 0
ENTER kind/msg/state/clicks 8 8 4 0
ENTER kind/msg/state/clicks 8 243 4 0
LEAVE kind/msg/state/clicks 8 243 0 0
CLICK kind/state/capture/count 8 0 0 1
NESTED_FOCUS kind/target-focused/button-state/target-state 8 1 0 8
LEAVE kind/msg/state/clicks 8 8 0 1
REFOCUS_RESULT kind/focus-button/focus-alternate/button-state 8 0 1 0
REFOCUS_OTHER kind/alternate-state/clicks/armed 8 8 1 0
REFOCUS_CASE kind/mode 9 0 0 0
ENTER kind/msg/state/clicks 9 8 12 0
ENTER kind/msg/state/clicks 9 243 12 0
LEAVE kind/msg/state/clicks 9 243 8 0
CLICK kind/state/capture/count 9 9 0 1
NESTED_FOCUS kind/target-focused/button-state/target-state 9 1 9 9
LEAVE kind/msg/state/clicks 9 8 1 1
REFOCUS_RESULT kind/focus-button/focus-alternate/button-state 9 1 0 1
REFOCUS_OTHER kind/alternate-state/clicks/armed 9 0 1 0
REFOCUS_CASE kind/mode 9 1 0 0
ENTER kind/msg/state/clicks 9 8 4 0
ENTER kind/msg/state/clicks 9 243 4 0
LEAVE kind/msg/state/clicks 9 243 0 0
CLICK kind/state/capture/count 9 1 0 1
NESTED_FOCUS kind/target-focused/button-state/target-state 9 1 1 8
LEAVE kind/msg/state/clicks 9 8 1 1
REFOCUS_RESULT kind/focus-button/focus-alternate/button-state 9 0 1 1
REFOCUS_OTHER kind/alternate-state/clicks/armed 9 8 1 0
REFOCUS_CASE kind/mode 10 0 0 0
ENTER kind/msg/state/clicks 10 8 12 0
ENTER kind/msg/state/clicks 10 243 12 0
LEAVE kind/msg/state/clicks 10 243 8 0
CLICK kind/state/capture/count 10 8 0 1
NESTED_FOCUS kind/target-focused/button-state/target-state 10 1 8 8
LEAVE kind/msg/state/clicks 10 8 0 1
REFOCUS_RESULT kind/focus-button/focus-alternate/button-state 10 1 0 0
REFOCUS_OTHER kind/alternate-state/clicks/armed 10 0 1 0
REFOCUS_CASE kind/mode 10 1 0 0
ENTER kind/msg/state/clicks 10 8 4 0
ENTER kind/msg/state/clicks 10 243 4 0
LEAVE kind/msg/state/clicks 10 243 0 0
CLICK kind/state/capture/count 10 0 0 1
NESTED_FOCUS kind/target-focused/button-state/target-state 10 1 0 8
LEAVE kind/msg/state/clicks 10 8 0 1
REFOCUS_RESULT kind/focus-button/focus-alternate/button-state 10 0 1 0
REFOCUS_OTHER kind/alternate-state/clicks/armed 10 8 1 0
REFOCUS_CASE kind/mode 11 0 0 0
ENTER kind/msg/state/clicks 11 8 12 0
ENTER kind/msg/state/clicks 11 243 12 0
LEAVE kind/msg/state/clicks 11 243 8 0
CLICK kind/state/capture/count 11 8 0 1
NESTED_FOCUS kind/target-focused/button-state/target-state 11 1 8 8
LEAVE kind/msg/state/clicks 11 8 0 1
REFOCUS_RESULT kind/focus-button/focus-alternate/button-state 11 1 0 0
REFOCUS_OTHER kind/alternate-state/clicks/armed 11 0 1 0
REFOCUS_CASE kind/mode 11 1 0 0
ENTER kind/msg/state/clicks 11 8 4 0
ENTER kind/msg/state/clicks 11 243 4 0
LEAVE kind/msg/state/clicks 11 243 0 0
CLICK kind/state/capture/count 11 0 0 1
NESTED_FOCUS kind/target-focused/button-state/target-state 11 1 0 8
LEAVE kind/msg/state/clicks 11 8 0 1
REFOCUS_RESULT kind/focus-button/focus-alternate/button-state 11 0 1 0
REFOCUS_OTHER kind/alternate-state/clicks/armed 11 8 1 0
BUTTON_INPUT_DONE 0 0 0 0
