MOUSE_ACTIVATE_V1
VERSION -1073739260 0 0 0
API_CASE mode/active/focus 4 1 1 0
DISPATCH hwnd/msg/wp/active 1 6 0 1
DISPATCH hwnd/msg/wp/active 2 6 1 2
DISPATCH hwnd/msg/wp/active 2 6 0 2
DISPATCH hwnd/msg/wp/active 4 6 1 4
DISPATCH hwnd/msg/wp/active 1 8 596 4
DISPATCH hwnd/msg/wp/active 4 7 584 4
NEST return/active/focus 2 4 4 0
DISPATCH hwnd/msg/wp/active 4 6 0 4
DISPATCH hwnd/msg/wp/active 2 6 1 2
DISPATCH hwnd/msg/wp/active 4 8 588 2
DISPATCH hwnd/msg/wp/active 2 7 596 2
DISPATCH hwnd/msg/wp/active 2 8 588 2
DISPATCH hwnd/msg/wp/active 2 7 588 2
OUTER return/active/focus 1 2 2 0
API_CASE mode/active/focus 5 1 1 0
DISPATCH hwnd/msg/wp/active 1 6 0 1
DISPATCH hwnd/msg/wp/active 2 6 1 2
DISPATCH hwnd/msg/wp/active 2 6 0 2
DISPATCH hwnd/msg/wp/active 4 6 1 4
DISPATCH hwnd/msg/wp/active 1 8 596 4
DISPATCH hwnd/msg/wp/active 4 7 584 4
NEST return/active/focus 2 4 4 0
OUTER return/active/focus 1 4 4 0
API_CASE mode/active/focus 6 1 1 0
DISPATCH hwnd/msg/wp/active 1 6 0 1
DISPATCH hwnd/msg/wp/active 2 6 1 2
DISPATCH hwnd/msg/wp/active 1 8 588 2
DISPATCH hwnd/msg/wp/active 2 7 584 2
OUTER return/active/focus 1 2 2 0
ACTIVATION_REENTRY_DONE
MOUSE_ACTIVATE_DONE
