VERSION -1073739260 0 0 0
LEAVE kind/msg/state/clicks 2 256 44 0
SECOND_SPACE_DOWN kind/state/capture/clicks 2 44 1 0
ENTER kind/msg/state/clicks 2 8 44 0
ENTER kind/msg/state/clicks 2 243 44 0
LEAVE kind/msg/state/clicks 2 243 40 0
ENTER kind/msg/state/clicks 2 533 8 0
LEAVE kind/msg/state/clicks 2 533 8 0
CLICK kind/state/capture/count 2 8 0 1
LEAVE kind/msg/state/clicks 2 8 0 1
FOCUS_LOST kind/state/capture/clicks 2 0 0 1
FOCUS_CASE kind/mode 2 0 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 2 108 1 0
ENTER kind/msg/state/clicks 2 8 108 0
ENTER kind/msg/state/clicks 2 243 108 0
LEAVE kind/msg/state/clicks 2 243 104 0
ENTER kind/msg/state/clicks 2 533 8 0
LEAVE kind/msg/state/clicks 2 533 8 0
LEAVE kind/msg/state/clicks 2 8 0 0
FOCUS_CASE_AFTER kind/state/capture/clicks 2 0 0 0
FOCUS_CASE kind/mode 2 1 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 2 104 1 0
ENTER kind/msg/state/clicks 2 8 104 0
ENTER kind/msg/state/clicks 2 243 104 0
LEAVE kind/msg/state/clicks 2 243 104 0
ENTER kind/msg/state/clicks 2 533 8 0
LEAVE kind/msg/state/clicks 2 533 8 0
LEAVE kind/msg/state/clicks 2 8 0 0
FOCUS_CASE_AFTER kind/state/capture/clicks 2 0 0 0
FOCUS_CASE kind/mode 2 2 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 2 40 1 0
ENTER kind/msg/state/clicks 2 8 40 0
ENTER kind/msg/state/clicks 2 533 8 0
LEAVE kind/msg/state/clicks 2 533 8 0
LEAVE kind/msg/state/clicks 2 8 0 0
FOCUS_CASE_AFTER kind/state/capture/clicks 2 0 0 0
FOCUS_CASE kind/mode 2 3 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 2 12 0 0
ENTER kind/msg/state/clicks 2 8 12 0
ENTER kind/msg/state/clicks 2 243 12 0
LEAVE kind/msg/state/clicks 2 243 8 0
CLICK kind/state/capture/count 2 8 0 1
LEAVE kind/msg/state/clicks 2 8 0 1
FOCUS_CASE_AFTER kind/state/capture/clicks 2 0 0 1
DLGC kind/before/focused/style 3 8192 8192 3
SPACE_DOWN kind/state/capture/clicks 3 44 1 0
SPACE_UP kind/state/capture/clicks 3 9 0 1
HIGHLIGHT kind/state/capture/clicks 3 13 0 0
MOUSE_DOWN kind/state/capture/clicks 3 109 1 0
MOUSE_OUT kind/state/capture/clicks 3 105 1 0
MOUSE_BACK kind/state/capture/clicks 3 109 1 0
CAPTURE_LOST kind/state/capture/clicks 3 9 0 0
ENTER kind/msg/state/clicks 3 256 9 0
ENTER kind/msg/state/clicks 3 243 41 0
LEAVE kind/msg/state/clicks 3 243 45 0
LEAVE kind/msg/state/clicks 3 256 45 0
SECOND_SPACE_DOWN kind/state/capture/clicks 3 45 1 0
